age,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,58246,56161,57130,58605,62025,61731,61733,61466,61191,63602,58740
1,59718,58721,56748,57894,59253,62508,62046,61916,61663,61514,64341
2,64422,60046,59134,57484,58520,59523,62675,62148,61967,61864,62209
3,64006,64638,60389,59803,57977,58831,59608,62697,62185,62135,62571
4,66564,64216,64967,60962,60288,58205,58901,59661,62844,62297,62815
5,65643,66742,64546,65616,61484,60478,58352,58993,59740,62893,63008
6,66634,65822,67083,65147,66047,61705,60640,58415,59064,59839,63652
7,65676,66762,66122,67681,65636,66236,61798,60745,58551,59165,60731
8,65801,65861,67053,66672,68121,65871,66386,61926,60898,58683,60044
9,65766,65959,66143,67509,67155,68391,66077,66522,62107,61034,59474
10,65167,65909,66299,66619,67907,67353,68541,66254,66696,62282,61867
11,66273,65311,66211,66703,66987,68155,67526,68649,66428,66845,63114
12,68228,66422,65528,66593,67022,67169,68375,67673,68834,66597,67655
13,67549,68371,66661,65887,66928,67267,67345,68523,67896,68985,67449
14,67903,67729,68633,67099,66218,67147,67467,67530,68720,68096,69788
15,69593,68174,68119,69127,67555,66614,67512,67768,67877,69009,69038
16,70278,70073,68822,68772,69839,68201,67142,67948,68246,68420,70187
17,72834,70507,70306,69287,69260,70115,68260,67304,68088,68469,69155
18,73491,73255,70973,71131,70008,69781,70566,68639,67674,68674,69597
19,72028,74737,74684,72647,72688,71269,70935,71623,69581,69151,69946
20,73946,73470,76210,76989,74572,74585,72820,72131,72666,71267,70877
21,72131,75528,74883,78470,78567,76294,75806,73901,72840,74538,73294
22,72597,73075,76460,76602,79900,79720,77306,76462,74517,74686,76532
23,71337,73849,74419,78420,78399,81298,80841,78029,77321,76345,76634
24,69614,72352,75068,76268,79884,79675,82217,81368,78560,78611,78041
25,67004,70466,73224,76637,77491,80773,80203,82438,81455,79475,80139
26,66454,67731,71192,74593,77537,78085,81198,80189,82285,82044,80697
27,64870,67040,68448,72478,75429,78238,78497,81165,79907,82795,83251
28,62604,65403,67569,69675,73334,75949,78625,78497,80915,80372,83972
29,61290,63067,65925,68600,70326,73732,76366,78521,78274,81389,81494
30,62653,61688,63633,66944,69318,70747,73938,76209,78313,78631,82549
31,62371,63077,62306,64561,67511,69599,70861,73803,76025,78620,79888
32,66222,62799,63600,63164,65137,67923,69787,70680,73727,76356,79817
33,67399,66506,63364,64409,63691,65377,68128,69626,70658,74222,77669
34,69418,67820,66966,64090,64889,64011,65560,68028,69744,71125,75411
35,69096,69729,68267,67715,64543,65269,64248,65478,68085,70235,72267
36,71821,69352,70092,68896,68146,64842,65526,64089,65547,68401,71443
37,77798,72065,69770,70636,69259,68297,64925,65452,64162,65943,69516
38,76621,77999,72430,70262,70983,69411,68520,64948,65456,64445,66997
39,76635,76790,78306,72916,70492,71189,69668,68495,64962,65792,65503
40,79921,76783,77079,78713,73156,70580,71301,69580,68557,65292,66728
41,79047,79984,76944,77450,78923,73322,70752,71301,69601,68851,66154
42,75865,79121,80293,77236,77682,79079,73420,70755,71377,69819,69778
43,75538,75905,79273,80591,77344,77816,79183,73376,70813,71567,70594
44,78172,75537,76015,79530,80766,77458,77909,79147,73472,71016,72259
45,83608,78207,75617,76230,79623,80860,77501,77918,79216,73676,71621
46,89637,83563,78320,75768,76335,79664,80871,77451,77980,79385,74191
47,86726,89566,83592,78457,75795,76329,79687,80790,77444,78123,79816
48,84632,86609,89520,83615,78492,75795,76259,79589,80822,77614,78588
49,82748,84480,86555,89569,83596,78441,75765,76141,79542,80908,77957
50,78091,82579,84374,86524,89501,83536,78405,75628,76109,79628,81268
51,75819,77902,82413,84268,86422,89348,83435,78262,75552,76108,79775
52,75605,75621,77725,82244,84118,86281,89142,83275,78124,75566,76393
53,72384,75360,75418,77537,82117,83915,86087,88906,83153,78092,75691
54,72471,72034,75167,75201,77335,81931,83712,85835,88708,83116,78243
55,71700,72234,71738,74921,74929,77080,81630,83408,85600,88557,83221
56,71965,71362,71921,71502,74632,74616,76815,81314,83160,85386,88538
57,70706,71558,71035,71602,71143,74291,74277,76439,81013,82937,85332
58,69060,70307,71167,70664,71258,70787,73868,73951,76105,80700,82895
59,69950,68585,69920,70785,70248,70839,70404,73426,73642,75759,80573
60,68260,69398,68151,69455,70326,69810,70375,69935,72965,73227,75695
61,66782,67697,68833,67597,68926,69833,69363,69869,69498,72500,73078
62,68413,66238,67151,68264,67067,68387,69315,68816,69353,69063,72288
63,67546,67784,65587,66543,67677,66507,67737,68692,68219,68822,68779
64,70480,66865,67095,65000,65860,67058,65880,67059,68079,67646,68498
65,74300,69801,66180,66392,64274,65188,66404,65209,66442,67399,67219
66,75896,73434,69005,65395,65615,63571,64405,65611,64490,65700,66896
67,72355,74907,72556,68177,64559,64841,62766,63587,64797,63765,65058
68,67844,71400,73822,71636,67240,63720,63940,61861,62791,63954,63020
69,61640,66770,70317,72748,70608,66308,62744,63007,60949,61874,63159
70,57084,60551,65645,69189,71639,69467,65273,61805,61963,59996,61047
71,49923,56023,59414,64462,67932,70445,68244,64190,60762,60925,58985
72,47730,48954,54998,58270,63158,66625,69167,67036,63024,59626,59875
73,44338,46611,47876,53758,57059,61802,65221,67743,65776,61729,58489
74,42919,43228,45513,46764,52500,55754,60360,63780,66246,64250,60398
75,40170,41726,42093,44315,45541,51165,54278,58778,62193,64618,62676
76,37319,38953,40434,40935,43056,44244,49698,52778,57095,60392,62839
77,34311,36015,37706,39125,39650,41718,42819,48254,51146,55334,58531
78,31991,32921,34612,36344,37712,38303,40197,41368,46603,49296,53377
79,29298,30549,31549,33154,34908,36218,36801,38658,39889,44870,47428
80,27301,27796,29131,30067,31627,33410,34621,35232,37008,38186,42875
81,25324,25738,26327,27539,28520,30040,31702,32993,33551,35206,36334
82,23525,23700,24214,24737,25960,26815,28321,29985,31267,31758,33257
83,21673,21816,22111,22606,23077,24224,24980,26583,28176,29384,29789
84,20347,19976,20147,20420,20943,21437,22464,23170,24708,26305,27313
85,18030,18532,18401,18487,18751,19192,19696,20704,21349,22686,24212
86,16691,16341,16846,16674,16829,17027,17415,17963,18866,19348,20657
87,14804,15038,14724,15126,14918,15043,15166,15647,16096,16870,17354
88,13140,13043,13313,13005,13338,13159,13259,13431,13885,14232,14914
89,11216,11386,11422,11633,11382,11707,11379,11590,11742,12048,12268
90,9051,9528,9740,9810,9981,9763,9939,9717,9971,10048,10172
91,8130,7614,8061,8172,8262,8401,8117,8368,8144,8352,8337
92,6740,6650,6248,6658,6791,6773,6882,6701,6919,6699,6791
93,4552,5430,5422,4914,5400,5471,5446,5605,5392,5573,5371
94,3596,3572,4245,4236,3816,4183,4277,4323,4405,4123,4305
95,2616,2739,2824,3268,3273,2931,3159,3265,3309,3303,3103
96,2001,1939,2052,2092,2446,2425,2165,2322,2480,2432,2383
97,1354,1486,1418,1504,1531,1761,1708,1578,1730,1792,1720
98,982,932,1083,1003,1062,1117,1195,1193,1101,1203,1235
99,601,639,658,749,671,722,752,822,806,720,794
100,462,403,416,425,505,432,458,490,531,528,446
101,245,279,248,258,284,307,257,290,298,330,313
102,133,150,180,162,154,158,184,134,173,167,196
103,79,76,87,111,88,88,91,108,81,106,98
104,55,41,49,52,60,53,51,54,64,37,50
105,12,33,21,22,29,37,30,30,27,31,19
106,14,3,14,15,14,5,21,18,14,13,14
107,4,7,1,9,5,9,2,8,8,5,6
108,3,2,4,0,3,2,5,0,4,1,4
109,2,1,1,3,0,2,2,1,0,1,1
110,0,1,1,1,1,0,2,0,1,0,0
111,0,0,0,0,0,0,0,1,0,1,0
112,0,0,0,0,0,0,0,0,0,0,1
113,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0